date,season,neutral,playoff,team1,team2,qbelo1_pre,qbelo2_pre,qbelo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
9/26/1920,1920,0,,RII,STP,,,,0.175348799,1516.108,1287.838,48,0
10/3/1920,1920,0,,BFF,WBU,,,,0.197999699,1489.757,1288.247,32,6
10/3/1920,1920,0,,CBD,PTQ,,,,0.174732849,1516.803,1287.885,48,0
10/3/1920,1920,0,,CHI,MUT,,,,0.317014429,1386.533,1281.8,20,0
10/3/1920,1920,0,,RII,MUN,,,,0.35582891,1542.135,1451.977,45,0
10/3/1920,1920,0,,DAY,COL,,,,0.424180876,1515.434,1482.475,14,0
10/3/1920,1920,0,,RCH,ABU,,,,0.175787903,1510.934,1292.486,10,0
10/3/1920,1920,0,,AKR,WHE,,,,0.175787903,1515.278,1288.142,43,0
10/10/1920,1920,0,,CBD,TLM,,,,0.164903275,1527.799,1289.004,42,0
10/10/1920,1920,0,,CHI,KEW,,,,0.294777179,1402.774,1283.76,25,7
10/10/1920,1920,0,,RII,HAM,,,,0.281387484,1559.405,1426.99,26,0
10/10/1920,1920,0,,RCH,FTP,,,,0.169608591,1523.607,1287.327,66,0
10/10/1920,1920,0,,DAY,CTI,,,,0.339093788,1510.527,1469.414,0,0
10/10/1920,1920,0,,CHT,ARI,,,,0.67630419,1305.377,1487.625,0,0
10/10/1920,1920,0,,AKR,COL,,,,0.362853758,1540.552,1457.2,37,0
10/10/1920,1920,0,,DHR,CLP,,,,0.178939987,1510.196,1289.472,40,14
10/10/1920,1920,0,,BFF,ABU,,,,0.180975366,1502.536,1279.708,51,0
10/17/1920,1920,0,,CHT,DHR,,,,0.691013733,1343.231,1472.342,12,0
10/17/1920,1920,0,,CBD,CTI,,,,0.329541137,1540.777,1456.436,7,0
10/17/1920,1920,0,,ARI,MUT,,,,0.173791046,1498.252,1271.172,33,3
10/17/1920,1920,0,,BFF,MCK,,,,0.176526405,1512.265,1290.27,28,7
10/17/1920,1920,0,,DAY,HAM,,,,0.298375059,1531.807,1405.71,44,0
10/17/1920,1920,0,,RCH,UTI,,,,0.159580129,1513.225,1310.382,0,0
10/17/1920,1920,0,,FTW,COL,,,,0.629657056,1335.595,1421.606,14,0
