schedule_date,schedule_season,schedule_week,team_home,team_away,stadium,team_favorite_id,spread_favorite,over_under_line,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,schedule_playoff,elo1,elo2,elo_prob1,neutral,month,snow,rain,fog,result,home_favorite,away_favorite,over_under,home_avg_pts_diff,away_avg_pts_diff,home_roll_pts_diff,away_roll_pts_diff,home_rest,away_rest,div_game,home_after_div,away_after_div
9/5/2019,2019,1,CHI,GB,Soldier Field,CHI,-3,46.5,68,7,69,,,0,1588.897931,1455.13137,0.640181642,0,9,0,0,0,,1,0,,8.058823529,-1.5,-1.5,-1.5,100,100,1,0,0
9/8/2019,2019,1,MIN,ATL,U.S. Bank Stadium,MIN,-4,48,72,0,40,,,0,1538.423954,1520.315825,0.592844833,0,9,0,0,0,,1,0,,1.1875,-0.5625,-0.5625,-0.5625,100,100,0,0,0
9/8/2019,2019,1,CAR,LAR,Bank of America Stadium,LAR,-2.5,50,87,2,65,,,0,1519.378772,1598.015666,0.475029617,0,9,0,0,0,,0,1,,-0.375,7.578947,7.578947,7.578947,100,100,0,0,0
9/8/2019,2019,1,CLE,TEN,FirstEnergy Stadium,CLE,-5.5,45.5,70,8,69,,,0,1455.886401,1518.907204,0.601345066,0,9,0,0,0,,1,0,,-2.0625,0.4375,0.4375,0.4375,100,100,0,0,0
9/8/2019,2019,1,JAX,KC,TIAA Bank Field,KC,-3.5,52,92,3,54,,,0,1455.249073,1602.077427,0.417592227,0,9,0,0,0,,0,1,,-4.4375,8.666667,8.666667,8.666667,100,100,0,0,0
9/8/2019,2019,1,MIA,BAL,Hard Rock Stadium,BAL,-7,37.5,88,8,71,,,0,1415.178762,1570.539249,0.387249692,0,9,0,0,0,,0,1,,-7.125,5.647059,5.647059,5.647059,100,100,0,0,0
9/8/2019,2019,1,NYJ,BUF,MetLife Stadium,NYJ,-3,41,76,6,47,,,0,1384.966442,1448.423682,0.546113784,0,9,0,0,0,,1,0,,-6.75,-6.5625,-6.5625,-6.5625,100,100,1,0,0
9/8/2019,2019,1,PHI,WAS,Lincoln Financial Field,PHI,-10,45.5,77,5,46,,,0,1581.513559,1441.021792,0.77438955,0,9,0,0,0,,1,0,,0.777778,-4.875,-4.875,-4.875,100,100,1,0,0
9/8/2019,2019,1,LAC,IND,Dignity Health Sports Park,LAC,-6.5,45,76,9,59,,,0,1585.751918,1561.074565,0.718804742,0,9,0,0,0,,1,0,,5.111111,4.722222,4.722222,4.722222,100,100,0,0,0
9/8/2019,2019,1,SEA,CIN,CenturyLink Field,SEA,-9.5,44,65,4,77,,,0,1565.411649,1428.533515,0.753839702,0,9,0,1,0,,1,0,,4.647059,-5.4375,-5.4375,-5.4375,100,100,0,0,0
9/8/2019,2019,1,ARI,DET,State Farm Stadium,DET,-2.5,47,72,0,40,,,0,1383.740422,1490.519409,0.489629651,0,9,0,0,0,,0,1,,-12.5,-2.25,-2.25,-2.25,100,100,0,0,0
9/8/2019,2019,1,DAL,NYG,AT&T Stadium,DAL,-7,45,72,0,40,,,0,1546.637605,1442.725536,0.742930299,0,9,0,0,0,,1,0,,0.5,-2.6875,-2.6875,-2.6875,100,100,1,0,0
9/8/2019,2019,1,TB,SF,Raymond James Stadium,PICK,0,50,91,6,55,,,0,1444.772669,1422.631825,0.545569286,0,9,0,0,0,,0,0,,-4.25,-5.8125,-5.8125,-5.8125,100,100,0,0,0
9/8/2019,2019,1,NE,PIT,Gillette Stadium,NE,-5.5,50.5,63,4,67,,,0,1640.856488,1572.19322,0.676629408,0,9,0,0,0,,1,0,,7.368421,4.25,4.25,4.25,100,100,0,0,0
9/9/2019,2019,1,NO,HOU,Mercedes-Benz Superdome,NO,-7,52.5,72,0,40,,,0,1610.936603,1515.388531,0.675670166,0,9,0,0,0,,1,0,,8.555556,4.235294,4.235294,4.235294,100,100,0,0,0
9/9/2019,2019,1,OAK,DEN,Oakland Coliseum,DEN,-1,43.5,63,12,68,,,0,1405.440618,1449.164195,0.513941852,0,9,0,0,0,,0,1,,-11.0625,-1.25,-1.25,-1.25,100,100,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
